"","X7_Cell_ID","Human","Livestock","Machinery","Dog","No_active_disturbance","Farm_hut","Road","Fence","Settlement","No_infrastructure","Water_source","Industrial_uses","Powerline","Flat","Sloping","Undulating","Soil","Sand","Gravel","Rocky","Grassland","Agriculture_active","Agriculture_inactive","Scrubland","X","transect_length","Habitat_points","Bird_points","Canal_length","Canal"
"61","BK275",0.666666666666667,0.666666666666667,0.222222222222222,0.111111111111111,0,0,0.111111111111111,0.666666666666667,0.333333333333333,0.111111111111111,0.666666666666667,0,0.666666666666667,0.777777777777778,0,0.222222222222222,0.777777777777778,0.222222222222222,0.111111111111111,0,0.111111111111111,0.222222222222222,0.555555555555556,0.555555555555556,61,16,9,49,22762.36258,1
"62","BK28",0.181818181818182,0.0909090909090909,0,0,0.818181818181818,0,0,0.272727272727273,0,0.636363636363636,0.0909090909090909,0,0,0.363636363636364,0.0909090909090909,0.545454545454545,0.636363636363636,0.636363636363636,0,0,0.0909090909090909,0.0909090909090909,0.545454545454545,0.818181818181818,62,19,11,28,0,0
"63","BK29",0.363636363636364,0.727272727272727,0.181818181818182,0.272727272727273,0.181818181818182,0.545454545454545,0.0909090909090909,0.818181818181818,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.545454545454545,1,0,0,1,0,0,0,0.363636363636364,0.181818181818182,0.818181818181818,0.0909090909090909,63,20,11,17,19015.54622,1
"64","BK40",1,0.375,0,0.125,0,0.5,0.375,0.75,0,0.125,0.5,0,0.5,0.625,0.375,0,0.875,0.75,0,0,0,0.375,0.375,0.625,64,14,8,39,28317.56872,1
"65","BK43",0.333333333333333,0.444444444444444,0.111111111111111,0.222222222222222,0.444444444444444,0,0.111111111111111,0.222222222222222,0.333333333333333,0.666666666666667,0,0,0.111111111111111,0.777777777777778,0.111111111111111,0.111111111111111,0.777777777777778,0.333333333333333,0,0,0.444444444444444,0.111111111111111,0.333333333333333,0.888888888888889,65,16,9,8,20325.94405,1
"66","BK45",0.222222222222222,0,0.222222222222222,0,0.777777777777778,0,0,0,0,1,0,0,0,0.222222222222222,0,0.777777777777778,1,0.777777777777778,0,0,0.444444444444444,0,0,1,66,14,9,15,504.3825683,1
"67","BK47",0.666666666666667,0.333333333333333,0,0.166666666666667,0.333333333333333,0,0.166666666666667,0.833333333333333,0.333333333333333,0,0.5,0,0.666666666666667,0.833333333333333,0,0.166666666666667,0.833333333333333,0.333333333333333,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333,67,9,6,26,4329.358599,1
"68","BK48",0.833333333333333,0.666666666666667,0.25,0.333333333333333,0,0,0.416666666666667,0.833333333333333,0.583333333333333,0,0.75,0,0.75,0.916666666666667,0,0.0833333333333333,1,0,0,0,0.333333333333333,0.416666666666667,0.416666666666667,0.0833333333333333,68,18,12,33,0,0
"69","BK50",0.777777777777778,0.444444444444444,0,0.333333333333333,0.111111111111111,0,0.111111111111111,0.888888888888889,0.111111111111111,0,0.666666666666667,0.111111111111111,0.333333333333333,1,0,0,1,0,0,0,0.444444444444444,0.222222222222222,0.444444444444444,0.111111111111111,69,17,9,40,50776.68848,1
"70","BK54",0.555555555555556,0.666666666666667,0.222222222222222,0,0.222222222222222,0,0.111111111111111,0.666666666666667,0.222222222222222,0.333333333333333,0,0,0.333333333333333,0.111111111111111,0,0.888888888888889,1,0.111111111111111,0,0,0,0.111111111111111,0,0.888888888888889,70,16,9,38,0,0
"71","BK57",0.777777777777778,0.666666666666667,0.333333333333333,0.222222222222222,0.222222222222222,0,0,0.666666666666667,0.111111111111111,0.222222222222222,0.777777777777778,0,0.222222222222222,0.333333333333333,0.111111111111111,0.555555555555556,0.777777777777778,0.666666666666667,0,0,0.111111111111111,0.111111111111111,0.666666666666667,0.888888888888889,71,18,9,10,16093.017,1
"72","BK59",1,0.444444444444444,0.111111111111111,0.333333333333333,0,0,0.222222222222222,0.888888888888889,0.555555555555556,0,0.333333333333333,0,0.777777777777778,0.555555555555556,0,0.444444444444444,0.666666666666667,0.555555555555556,0,0,0,0.444444444444444,0.333333333333333,0.666666666666667,72,16,9,45,31888.55264,1
