"","X14_Species_Name","Common_Name","Scientific_Name","Order","IUCN name","HWI","Sample size","Body mass (log)","Range Size","Island","Migration-1","Migration-2","Migration-3","Territoriality","Diet","Habitat","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange","BodyMass.Value"
"72","Francolin (Unidentified)","Francolin ","Unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Lesser Goldenbacked Woodpecker (Dinopium benghalense)","Lesser Goldenbacked Woodpecker ","Dinopium benghalense","Piciformes","Dinopium benghalense",20.69691878,6,"2","284","0","Not a Migrant","1","resident","strong","invertebrates","2","24.93","23.002588759999998","27.139064659999999","1284.4996819999999","338.67392000000001",100
"74","Longbilled Pipit (Anthus similis)","Longbilled Pipit ","Anthus similis","Passeriformes","Anthus similis",16.5203857,4,"1.403120521","740","4.0540539999999996E-3","Not a Migrant","1","directional migratory","weak","invertebrates","3","8.76","21.874164029999999","26.165179970000001","622.45024599999999","156.9770724",25.3
"75","Asian Desert Warbler (Sylvia nana)","Asian Desert Warbler ","Sylvia nana","Passeriformes","Sylvia nana",16.49051232,4,"0.93951925300000005","837","0","Full Migrant","1","directional migratory","weak","invertebrates","3","40.72","11.400332260000001","42.785896739999998","184.92943510000001","25.320562679999998",8.7
"76","Barn Swallow (Hirundo rustica)","Barn Swallow ","Hirundo rustica","Passeriformes","Hirundo rustica",51.1705325,11,"1.2530955859999999","4786","2.1938988999999999E-2","Full Migrant","3","directional migratory","none","invertebrates","3","45.01","6.1874571749999996","39.138836929999997","618.74158539999996","77.781817700000005",17.91
"77","Andaman Cuckooshrike (Coracina dobsoni)","Andaman Cuckooshrike ","Coracina dobsoni","Passeriformes","Coracina dobsoni",33.24459001,4,"NA","NA","NA","NA","1","resident","weak","NA","1","NA","NA","NA","NA","NA",NA
"78","Crested Lark (Galerida cristata)","Crested Lark ","Galerida cristata","Passeriformes","Galerida cristata",27.12627936,4,"1.6302244109999999","2795","4.2933809999999998E-3","Full Migrant","1","directional migratory","weak","omnivore","3","34.270000000000003","15.18243131","34.399824260000003","411.54169189999999","79.706724309999998",42.68
"79","Paddyfield Pipit (Anthus rufulus)","Paddyfield Pipit ","Anthus rufulus","Passeriformes","Anthus rufulus",21.5591577,4,"1.3104808910000001","862","0.1612529","Not a Migrant","1","resident","weak","invertebrates","3","13.92","24.046042109999998","19.309718289999999","1790.6561919999999","288.8258386",20.44
"80","Small Minivet (Pericrocotus cinnamomeus)","Small Minivet ","Pericrocotus cinnamomeus","Passeriformes","Pericrocotus cinnamomeus",22.4781892,4,"0.93449845099999995","500","0.03","Not a Migrant","2","resident","weak","invertebrates","2","19.25","25.037204320000001","23.138791179999998","1471.112384","339.70868059999998",8.6
"81","Yellowlegged Green Pigeon (Treron phoenicopterus)","Yellowlegged Green Pigeon ","Treron phoenicopterus","Columbiformes","Treron phoenicopterus",39.47932785,8,"2.3710678619999999","339","0","Not a Migrant","1","resident","none","fruit","2","20.39","24.13593633","22.85406897","1510.1617799999999","358.9123616",235
"82","Indian Silverbill (Euodice malabarica)","Indian Silverbill ","Euodice malabarica","Passeriformes","Euodice malabarica",23.19087042,4,"1.0791812460000001","357","0","Not a Migrant","1","resident","none","seeds","3","23.39","24.894347150000002","27.411139800000001","853.65485369999999","242.8632183",NA
"83","Isabelline Shrike (Lanius isabellinus)","Isabelline Shrike ","Lanius isabellinus","Passeriformes","Lanius isabellinus",27.03451831,4,"1.4014005410000001","619","0","Full Migrant","3","directional migratory","weak","invertebrates","2","41.37","5.7707974579999997","45.140995220000001","233.43743799999999","47.448425710000002",25.2
"84","Blackbellied Sandgrouse (Pterocles orientalis)","Blackbellied Sandgrouse ","Pterocles orientalis","Pteroclidiformes","Pterocles orientalis",63.68153195,4,"2.607315598","715","9.7902100000000006E-3","Full Migrant","2","directional migratory","none","seeds","3","37.99","13.14716351","38.326440439999999","282.31237920000001","41.607167410000002",404.87
"85","Baybacked Shrike (Lanius vittatus)","Baybacked Shrike ","Lanius vittatus","Passeriformes","Lanius vittatus",22.85935807,4,"1.3180633349999999","369","0","Full Migrant","2","directional migratory","weak","invertebrates","2","25.11","22.716633309999999","30.179702290000002","759.31781320000005","216.9631669",20.8
"86","Bimaculated Lark (Melanocorypha bimaculata)","Bimaculated Lark ","Melanocorypha bimaculata","Passeriformes","Melanocorypha bimaculata",38.43511652,4,"1.733197265","393","0","Full Migrant","3","directional migratory","weak","omnivore","3","40.880000000000003","10.46459817","41.12227515","314.04199139999997","45.036075670000002",54.1
"87","Mountain Bulbul (Ixos mcclellandii)","Mountain Bulbul ","Ixos mcclellandii","Passeriformes","Ixos mcclellandii",18.08391102,4,"1.511883361","384","2.0833332999999999E-2","Altitudinal Migrant","1","resident","weak","omnivore","1","22.79","19.595654660000001","23.17769624","1621.672186","301.73484359999998",NA
