Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Lndscp,Rgn,Time,Wthr,Wndspd,Grsl,Agri,Scrb,Wdl,Brn,Grdvg_ht,Grdvg_cov,Arth,Act_dstb,Psv_dstb,sel
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.778,0.889,0.778,0.019,0.426,0.019,0.102,0.435,0.691,0.319,0.181,0.833,1.833,1
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Kutch,Guj,0.87,0.522,0.826,0.014,0.409,0.33,0.192,0.054,0.828,0.267,0.196,1.348,2.087,1
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.889,0.056,0.833,0.185,0.361,0.259,0.176,0.019,0.674,0.558,0,0,0,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.941,1,1,0.157,0.422,0.343,0.078,0,0.62,0.576,0.685,0.118,0.706,1
41,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.615,0.846,0.538,0.077,0.103,0.064,0.436,0.321,0.806,0.627,0.388,0.308,0.308,1
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.389,0.833,1.167,0.134,0.394,0.31,0.162,0,0.694,0.333,0.317,0.944,1.444,1
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.875,1,0.625,0.063,0.438,0.052,0.292,0.156,0.587,0.447,0.397,0.75,0.813,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.875,0.375,0.75,0.323,0.302,0.229,0.146,0,0.496,0.369,0.75,1.438,1.563,1
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.733,0.6,0.933,0.2,0.144,0.367,0.289,0,0.577,0.717,0.823,1.4,0.8,1
49,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,1,1,1.273,0.205,0.295,0.477,0,0.023,0.724,0.386,0.468,0.364,0.455,1
